Owner Satisfaction,Driving Satisfaction,Comfort Satisfaction,Value Satisfaction,Styling Satisfaction
4,98.0,72.0,51.0,96.0
4,93.0,78.0,61.0,87.0
2,58.0,63.0,55.0,80.0
2,80.0,78.0,62.0,79.0
2,70.0,81.0,49.0,94.0
4,73.0,64.0,76.0,84.0
5,94.0,92.0,78.0,97.0
3,55.0,48.0,59.0,77.0
2,92.0,64.0,56.0,96.0
4,76.0,81.0,58.0,86.0
2,84.0,72.0,68.0,75.0
4,92.0,88.0,60.0,84.0
3,60.0,44.0,84.0,88.0
4,58.0,70.0,62.0,79.0
4,81.0,69.0,79.0,93.0
4,73.0,65.0,53.0,91.0
1,88.0,50.0,62.0,85.0
4,70.0,55.0,76.0,83.0
3,68.0,60.0,70.0,71.0
3,90.0,76.0,39.0,92.0
4,84.0,78.0,59.0,88.0
5,81.0,61.0,78.0,69.0
1,49.0,62.0,65.0,83.0
3,65.0,69.0,55.0,60.0
3,87.0,74.0,54.0,88.0
2,55.0,58.0,61.0,72.0
4,79.0,72.0,70.0,82.0
2,69.0,58.0,52.0,78.0
4,90.0,83.0,69.0,80.0
4,80.0,57.0,74.0,80.0
3,71.0,55.0,66.0,80.0
4,95.0,76.0,75.0,84.0
5,82.0,87.0,55.0,79.0
4,81.0,81.0,40.0,81.0
3,89.0,81.0,48.0,86.0
5,95.0,92.0,53.0,89.0
5,86.0,86.0,66.0,90.0
5,92.0,97.0,89.0,98.0
2,69.0,58.0,52.0,78.0
5,73.0,83.0,82.0,86.0
1,54.0,42.0,63.0,62.0
3,80.0,77.0,65.0,82.0
4,89.0,81.0,78.0,81.0
4,88.0,92.0,65.0,92.0
2,56.0,63.0,70.0,81.0
3,76.0,83.0,59.0,93.0
3,77.0,77.0,60.0,84.0
4,75.0,69.0,75.0,60.0
4,86.0,84.0,50.0,86.0
5,89.0,87.0,72.0,92.0
4,89.0,91.0,63.0,93.0
1,70.0,70.0,60.0,68.0
1,46.0,42.0,46.0,69.0
3,87.0,58.0,62.0,85.0
4,77.0,83.0,56.0,90.0
4,85.0,70.0,74.0,84.0
4,81.0,72.0,52.0,86.0
4,72.0,57.0,81.0,77.0
2,60.0,65.0,67.0,77.0
2,84.0,69.0,58.0,83.0
4,94.0,61.0,45.0,74.0
2,55.0,41.0,65.0,73.0
